title,author,genre,rating,description,image_url,cover_url
White Noise,Don DeLillo,Literary Fiction,4.2,"The novel follows the life of a middle‑aged professor and his family as they confront the pervasive presence of media, technology, and death in contemporary America. Through surreal humor and sharp social critique, DeLillo explores the anxieties of consumer culture, the fragility of human connection, and the relentless march of information overload.",,https://covers.openlibrary.org/b/id/94015-M.jpg
American Pastoral,Philip Roth,Literary Fiction,4.2,"Set in the 1960s and 1970s, the novel follows Seymour ""Swede"" Levov, a successful suburban businessman whose idyllic life is shattered when his daughter, Willa, becomes involved in radical anti‑war activism. Through Swede’s perspective, the story explores the clash between the American Dream and the turbulent social upheavals of the era, examining themes of identity, conformity, and the fragility of personal and national myths.",,https://covers.openlibrary.org/b/id/9322643-M.jpg
Rabbit at Rest,John Updike,Literary Fiction,4.2,"The novel follows the life of Harry ""Rabbit"" Angstrom as he navigates the complexities of suburban existence, reflecting on his past choices and the search for meaning in a changing America. Through introspective monologues and vivid social commentary, Updike explores themes of aging, identity, and the elusive pursuit of personal fulfillment.",,https://covers.openlibrary.org/b/id/291207-M.jpg
Catch-22,Joseph Heller,Satirical war novel,4.5,"Set during World War II, the novel follows Captain John Yossarian as he navigates the absurdities of military bureaucracy and the paradoxical 'Catch-22' that keeps him from being grounded. Through dark humor and relentless satire, Heller exposes the futility of war and the dehumanizing effects of institutional logic.",,https://covers.openlibrary.org/b/id/6468653-M.jpg
Something Happened,Alexandra Grey,Historical Fiction,4.3,"In the aftermath of World War II, a young woman discovers a hidden diary that reveals her family's secret involvement in the resistance. The novel weaves themes of memory, identity, and the enduring impact of past choices.",,https://covers.openlibrary.org/b/id/4467955-M.jpg
The Bell Jar,Sylvia Plath,Literary Fiction,4.2,"The Bell Jar follows 19-year-old Esther Greenwood as she navigates the pressures of academia, fame, and mental illness, culminating in a harrowing descent into depression and a desperate search for identity. Through its stark prose and intimate diary-like narrative, the novel explores themes of gender roles, existential angst, and the fragility of the human psyche.",,https://covers.openlibrary.org/b/id/8477115-M.jpg
The Master and Margarita,Mikhail Bulgakov,Satirical Fantasy,4.5,"In Soviet Moscow, the Devil visits and wreaks havoc while a writer, the Master, and his lover, Margarita, confront the forces of good and evil. The novel weaves surreal encounters with philosophical musings on art, morality, and the nature of reality.",,https://covers.openlibrary.org/b/id/881855-M.jpg
Doctor Zhivago,Boris Pasternak,Historical Fiction,4.5,"Set against the backdrop of the Russian Revolution and Civil War, the novel follows Yuri Zhivago as he navigates love, loss, and the clash between personal desire and political upheaval. Themes of resilience, the fragility of art, and the enduring human spirit weave through his tragic romance with Lara.",,https://covers.openlibrary.org/b/id/12713393-M.jpg
If on a winter's night a traveler,Italo Calvino,Experimental Fiction / Postmodern,4.2,"The novel follows a reader who attempts to purchase a book titled *If on a winter's night a traveler*, only to find that each copy he receives is a different, incomplete narrative, forcing him to confront the fragmented nature of storytelling. Through this metafictional maze, Calvino explores themes of reader agency, the elusive search for meaning, and the interplay between authorial intent and audience interpretation.",,https://covers.openlibrary.org/b/id/12007967-M.jpg
An Artist of the Floating World,Unknown,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/4342830-M.jpg
White Teeth,Zadie Smith,Literary fiction,4.2,"White Teeth follows the intertwined lives of two London families, the Joneses and the Iqbals, as they navigate cultural identity, immigration, and the legacy of colonialism. The novel blends humor and tragedy to explore themes of generational conflict, multiculturalism, and the search for belonging.",,https://covers.openlibrary.org/b/id/5276331-M.jpg
Small Island,Andrea Levy,Historical Fiction,4.5,"The novel follows the intertwined lives of two Jamaican immigrants, Linton and Yvonne, as they navigate the challenges of post‑war Britain, while their families back home face the aftermath of the 1948 Windrush generation. Themes of identity, belonging, and the lingering effects of colonialism are explored through their personal struggles and hopeful aspirations.",,https://covers.openlibrary.org/b/id/181927-M.jpg
The God of Small Things,Arundhati Roy,Literary Fiction,4.5,"Set in the 1960s in the Indian town of Ayemenem, the novel follows the tragic childhood of fraternal twins Rahel and Estha as their family’s secrets unravel, revealing the devastating impact of caste, class, and forbidden love. Through lyrical prose and a non-linear narrative, Roy explores how small acts of kindness and cruelty shape destinies, underscoring the power of memory and the fragility of human connections.",,https://covers.openlibrary.org/b/id/10513792-M.jpg
Midnight's Children,Salman Rushdie,Historical Fiction,4.5,"Midnight's Children follows the life of Saleem Sinai, born at the moment of India's independence, whose telepathic powers mirror the nation's tumultuous history. The novel weaves personal and political narratives, exploring themes of identity, memory, and the blurred line between myth and reality.",,https://covers.openlibrary.org/b/id/8346713-M.jpg
The Moor's Last Sigh,Salman Rushdie,Historical Fiction,4.2,"The novel follows the life of the last descendant of a wealthy Indian family, weaving together the personal and the political as he navigates the tumultuous history of India from the 1940s to the 1990s. Themes of identity, memory, and the clash between tradition and modernity are explored through a blend of magical realism and sharp social commentary.",,https://covers.openlibrary.org/b/id/8304194-M.jpg
The Inheritance of Loss,Kiran Desai,Literary Fiction,4.3,"The novel follows the intertwined lives of a young Indian girl, her grandfather, and a Nepali immigrant in New Delhi, exploring the lingering effects of colonialism and the complexities of identity in a globalized world. Themes of displacement, generational conflict, and the clash between tradition and modernity are woven through the characters' struggles with loss and belonging.",,https://covers.openlibrary.org/b/id/5728169-M.jpg
Sea of Poppies,Amitav Ghosh,Historical Fiction,4.2,"A group of diverse strangers aboard the ship ""Maya"" are thrust into the turbulent aftermath of the 1857 Indian Rebellion, weaving a tale of survival, colonial exploitation, and the search for identity. The novel explores themes of displacement, cultural hybridity, and the enduring impact of history on personal destiny.",,https://covers.openlibrary.org/b/id/6956953-M.jpg
The Hungry Tide,Amitav Ghosh,Historical Fiction,4.2,"Set in the Sundarbans of West Bengal, the novel follows the journey of a marine biologist and a local fisherman as they confront the ecological and social challenges of the delta, while unraveling a mystery that threatens their lives. Themes of environmental stewardship, cultural identity, and the resilience of marginalized communities weave through their intertwined destinies.",,https://covers.openlibrary.org/b/id/10290-M.jpg
Interpreter of Maladies,Jhumpa Lahiri,Contemporary Fiction,4.5,"The collection weaves together the lives of Indian immigrants in America, exploring the subtle tensions between longing and belonging. Through intimate vignettes, Lahiri examines identity, communication, and the quiet tragedies that shape everyday existence.",,https://covers.openlibrary.org/b/id/4915588-M.jpg
The Poisonwood Bible,Barbara Kingsolver,Historical Fiction,4.5,"Set in 1960s Congo, the novel follows the Price family as they navigate cultural clashes and political upheaval after their missionary wife brings her four daughters to a remote village. Through interwoven perspectives, Kingsolver examines colonialism, faith, and the complexities of family dynamics amid societal change.",,https://covers.openlibrary.org/b/id/853663-M.jpg
Prodigal Summer,Unknown,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/23515-M.jpg
Olive Kitteridge,Elizabeth Strout,Literary Fiction,4.5,"Olive Kitteridge, a stern yet deeply caring schoolteacher in a small Maine town, navigates the complexities of love, loss, and community through a series of interconnected vignettes. The novel explores themes of isolation, resilience, and the quiet power of ordinary acts of kindness.",,https://covers.openlibrary.org/b/id/2733808-M.jpg
My Brilliant Friend,Elena Ferrante,Historical Fiction,4.5,"Set in post-war Naples, the novel follows the lifelong friendship between Elena Greco and Lila Cappello as they navigate poverty, ambition, and the shifting social landscape of Italy. Their bond, marked by fierce loyalty and rivalry, explores themes of female empowerment, class struggle, and the complexities of memory and identity.",,https://covers.openlibrary.org/b/id/8801023-M.jpg
Disgrace,J. M. Coetzee,Literary Fiction,4.2,"A disgraced professor returns to his South African farm, confronting the consequences of his past actions and the complexities of post-apartheid society. The novel explores themes of personal responsibility, power dynamics, and the search for redemption amid social upheaval.",,https://covers.openlibrary.org/b/id/11434870-M.jpg
Waiting for the Barbarians,J. M. Coetzee,Political Fiction,4.2,"In a nameless empire, a magistrate grapples with the morality of his duty as he confronts the arrival of barbarian captives, exposing the cruelty of colonial authority. The novel interrogates power, complicity, and the human cost of dehumanizing the ""other"".",,https://covers.openlibrary.org/b/id/6984133-M.jpg
Life & Times of Michael K,John Steinbeck,Historical Fiction,4.2,"A young man named Michael K, a former soldier, struggles to survive in a war-torn landscape while confronting the moral ambiguities of his past. The novel explores themes of identity, redemption, and the human cost of conflict.",,https://covers.openlibrary.org/b/id/12703026-M.jpg
The English Patient,Michael Ondaatje,Historical Fiction,4.5,"Set during World War II, the novel follows a critically burned English patient in an Italian villa, whose memories of love, war, and identity are revealed through the eyes of a nurse and a cook. Through interwoven narratives, Ondaatje explores the fragility of memory, the enduring impact of trauma, and the complex interplay between personal desire and historical forces.",,https://covers.openlibrary.org/b/id/417585-M.jpg
Anil's Ghost,Khaled Hosseini,Historical Fiction,4.3,"A forensic anthropologist in Kabul uncovers a buried truth about a missing soldier, forcing him to confront the horrors of war and his own past. The novel weaves themes of memory, identity, and the lingering scars of conflict into a gripping narrative.",,https://covers.openlibrary.org/b/id/4527709-M.jpg
Brick Lane,Monica Ali,Contemporary Fiction,4.2,"A young Bangladeshi woman in London navigates love, identity, and cultural expectations while her husband’s past threatens to unravel her new life. Themes of diaspora, resilience, and the search for belonging weave through her quiet, yet powerful, journey.",,https://covers.openlibrary.org/b/id/473300-M.jpg
The Buddha of Suburbia,Hanif Kureishi,Contemporary Fiction,4.2,"A young, mixed-race Londoner navigates adolescence, sexuality, and identity while becoming a media sensation, all set against the backdrop of 1970s Britain. The novel explores themes of cultural hybridity, class mobility, and the search for authenticity in a rapidly changing society.",,https://covers.openlibrary.org/b/id/95147-M.jpg
No Country for Old Men,Cormac McCarthy,Thriller,4.3,"A hitman, a sheriff, and a desperate gambler collide in a post‑World War II Texas border town after a drug deal goes wrong, sparking a relentless chase for a satchel of stolen money. The novel explores fate, violence, and the erosion of moral certainty in a harsh, unforgiving landscape.",,https://covers.openlibrary.org/b/id/9296899-M.jpg
All the Pretty Horses,Cormac McCarthy,Literary Fiction / Western,4.2,"A young Texas rancher, John Grady Cole, leaves home to chase the romanticized dream of the Mexican ranch life, only to confront the harsh realities of love, loss, and the erosion of traditional values. The novel weaves themes of identity, the clash between modernity and heritage, and the bittersweet pursuit of an idealized past.",,https://covers.openlibrary.org/b/id/9296904-M.jpg
Blood Meridian,Cormac McCarthy,Western / Historical Fiction,4.7,"Set in the 1850s American Southwest, the novel follows the Kid, a teenage runaway who joins a brutal army of Indian-hunters led by the enigmatic Judge Holden, as they wage a campaign of bloodshed across the borderlands. Themes of violence, morality, and the nature of evil are explored through stark, poetic prose and relentless action.",,https://covers.openlibrary.org/b/id/419991-M.jpg
The Things They Carried,Tim O'Brien,War Fiction,4.5,"The book follows a platoon of U.S. soldiers in Vietnam, chronicling the physical and emotional burdens they carry, from weapons to memories. Through interwoven stories, O'Brien explores the blurred line between truth and fiction, the weight of guilt, and the enduring impact of war on identity.",,https://covers.openlibrary.org/b/id/12639079-M.jpg
The Man in the High Castle,Philip K. Dick,Science Fiction / Alternate History,4.2,"In a world where the Axis powers won World War II, the United States is split into the Greater Nazi Reich, the Japanese Pacific States, and a neutral zone, and a mysterious book reveals a different outcome to the war. The novel explores themes of reality, identity, and the fragility of truth through the lives of its characters as they confront the oppressive regimes and the possibility of alternate histories.",,https://covers.openlibrary.org/b/id/420452-M.jpg
The Last Battle,C. S. Lewis,Fantasy,4.5,"In the final Narnia adventure, the land is threatened by a tyrannical ape king who deceives the inhabitants into believing he is the rightful ruler, while the true king, Aslan, returns to restore order. The novel explores themes of faith, sacrifice, and the battle between good and evil, culminating in a poignant farewell to the beloved world of Narnia.",,https://covers.openlibrary.org/b/id/6529226-M.jpg
The Neverending Story,Michael Ende,Fantasy,4.2,"The novel follows Bastian Balthazar Bux, a shy boy who discovers a magical book that transports him into the world of Fantasia, where he must help the Childlike Empress save her realm from the Nothing. Themes of imagination, self-discovery, and the power of storytelling intertwine as Bastian confronts his fears and learns that the greatest adventures begin within.",,https://covers.openlibrary.org/b/id/13200934-M.jpg
The Princess Bride,William Goldman,Fantasy,4.5,"A swashbuckling fairy tale that follows the quest of Westley to rescue his true love, Buttercup, from the clutches of a tyrannical prince, blending romance, adventure, and dark humor. Themes of true love, revenge, and the power of storytelling underscore the narrative’s enduring charm.",,https://covers.openlibrary.org/b/id/9284881-M.jpg
The Once and Future King,T. H. White,Fantasy,4.5,"The novel retells the Arthurian legend through a series of interconnected stories, following Arthur's rise to kingship and his eventual downfall. It explores themes of power, morality, and the cyclical nature of history, blending mythic adventure with philosophical introspection.",,https://covers.openlibrary.org/b/id/6630521-M.jpg
Good Omens,Neil Gaiman and Terry Pratchett,Fantasy / Satire,4.5,"A mischievous angel and a demon team up to prevent the apocalypse, blending humor with apocalyptic stakes, while exploring themes of free will, friendship, and the absurdity of bureaucracy. Their unlikely partnership highlights the absurdity of human institutions and the enduring power of cooperation in the face of cosmic chaos.",,https://covers.openlibrary.org/b/id/10482258-M.jpg
A Clockwork Orange,Anthony Burgess,Dystopian Fiction,4.5,"The novel follows Alex, a teenage delinquent who leads a gang of ""droogs"" through violent acts in a dystopian future, only to be subjected to state-sponsored psychological conditioning. It explores themes of free will, the nature of evil, and the consequences of attempting to eradicate violence through manipulation.",,https://covers.openlibrary.org/b/id/13151224-M.jpg
The Passage,Justin Cronin,Post-apocalyptic fiction,4.2,"The Passage follows a desperate government experiment that unleashes a vampiric plague, forcing a small group of survivors to navigate a world overrun by the undead. Themes of humanity, sacrifice, and the moral cost of scientific ambition are explored as the characters confront both external threats and internal divisions.",,https://covers.openlibrary.org/b/id/8261369-M.jpg
The Autumn of the Patriarch,Gabriel García Márquez,Magical Realism,4.3,"The novel chronicles the life of a tyrannical Caribbean dictator, weaving his personal and political excesses into a surreal tapestry that blurs the line between myth and reality. Through lush, repetitive prose, García Márquez explores the cyclical nature of power, the erosion of humanity, and the haunting persistence of memory.",,https://covers.openlibrary.org/b/id/15114341-M.jpg
Chronicle of a Death Foretold,Gabriel García Márquez,Literary Fiction,4.5,"In a small Colombian town, the murder of Santiago Nasar is foretold yet inevitable, as the community's collective denial and fatalism unravel the truth. The novel explores themes of honor, fate, and the paradox of knowledge, revealing how social expectations can both predict and prevent tragedy.",,https://covers.openlibrary.org/b/id/12198662-M.jpg
No One Writes to the Colonel,Gabriel García Márquez,Magical Realism,4.3,"The story follows an elderly colonel in a small Colombian town who waits for a pension that never arrives, embodying the quiet dignity and frustration of a forgotten veteran. Themes of hope, patience, and the absurdity of bureaucratic neglect are interwoven with subtle magical realism, reflecting the broader socio-political climate of Latin America.",,https://covers.openlibrary.org/b/id/6786365-M.jpg
The Passionate Friends,Henry James,Literary Fiction,4.2,"The novel follows the complex romantic entanglements of a young American woman, her English husband, and a charismatic Englishman, exploring the tensions between passion and propriety in late 19th-century society. Through nuanced character development, James examines the moral ambiguities of love, the constraints of social expectations, and the psychological costs of unfulfilled desire.",,https://covers.openlibrary.org/b/id/1450896-M.jpg
Wide Sargasso Sea,Jean Rhys,Literary Fiction,4.2,"Set in the Caribbean before the American Revolution, the novel follows Antoinette Cosway, a white Creole heiress, as she navigates colonial power, cultural identity, and the psychological trauma of her marriage to a British man. Themes of colonialism, gender, and the haunting legacy of slavery intertwine to reimagine the backstory of the infamous ""Black Maria"" from Jane Eyre.",,https://covers.openlibrary.org/b/id/9269373-M.jpg
"Good Morning, Midnight",Unknown,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/248444-M.jpg
The Driver's Seat,Ruth Rendell,Psychological Thriller,4.2,"A young woman, desperate to escape her abusive marriage, plans a daring escape that spirals into a deadly cat-and-mouse game with her husband and the police. The novel explores themes of control, freedom, and the psychological toll of domestic violence.",,https://covers.openlibrary.org/b/id/6794461-M.jpg
The Golden Notebook,Doris Lessing,Literary Fiction,4.2,"The novel follows the life of writer Anna Wulf as she attempts to reconcile her fragmented personal and political identities by compiling four notebooks, each representing a different aspect of her life. Through this metafictional structure, Lessing explores themes of feminism, mental illness, and the interplay between personal narrative and historical context.",,https://covers.openlibrary.org/b/id/42601-M.jpg
The Fifth Child,Doris Lessing,Fiction (Family Drama),4.2,"In a quiet English suburb, a family welcomes a new baby who seems to bring both wonder and terror, as the child’s unsettling behavior threatens to unravel the household’s sense of normalcy. The novel explores themes of motherhood, societal expectations, and the thin line between love and fear.",,https://covers.openlibrary.org/b/id/8778074-M.jpg
The Grass is Singing,Doris Lessing,Literary Fiction,4.2,"The novel follows Ruth, a young white woman living on a South African farm, as she grapples with the oppressive racial and gender dynamics of colonial society and the complexities of her own identity. Through her tragic relationships and the harsh realities of the land, Lessing explores themes of isolation, colonial injustice, and the fragile nature of human connection.",,https://covers.openlibrary.org/b/id/296181-M.jpg
Song of Solomon,Toni Morrison,Historical Fiction,4.5,"The novel follows the life of Macon ""Milkman"" Dead, a young African American man who embarks on a quest to uncover his family's past and the origins of his own identity. Through his journey, Morrison explores themes of heritage, self-discovery, and the complex legacy of slavery in contemporary America.",,https://covers.openlibrary.org/b/id/9317262-M.jpg
The Bluest Eye,Toni Morrison,Literary Fiction,4.5,"The novel follows Pecola Breedlove, a young African American girl in 1940s Ohio, whose longing for blue eyes leads her into a tragic spiral of self-hatred and abuse. Through her story, Morrison examines the destructive impact of internalized racism, beauty standards, and the longing for acceptance in a society that marginalizes Black bodies.",,https://covers.openlibrary.org/b/id/15152696-M.jpg
Native Son,Richard Wright,African-American literature,4.2,"Set in 1930s Chicago, the novel follows Bigger Thomas, a young Black man whose accidental act of violence spirals into a tragic chain of events that expose systemic racism and class oppression. Through Bigger's desperate attempts to survive, Wright examines the psychological impact of segregation, the myth of the ""black criminal"", and the broader social forces that shape individual destiny.",,https://covers.openlibrary.org/b/id/10830375-M.jpg
Go Tell It on the Mountain,James Baldwin,"Fiction (African-American literature, coming-of-age, religious themes)",4.2,"The novel follows 17-year-old John Grimes as he navigates the complexities of faith, family, and identity in 1930s Harlem, culminating in a dramatic confrontation with his father and the church. Through vivid prose, Baldwin explores themes of sin, redemption, and the enduring struggle for self‑acceptance within the African‑American experience.",,https://covers.openlibrary.org/b/id/97426-M.jpg
Giovanni's Room,James Baldwin,Literary Fiction,4.5,"Set in 1950s Paris, the novel follows an unnamed American man's affair with the Italian bartender Giovanni, exploring themes of identity, sexuality, and societal expectations. The story culminates in a tragic confrontation that forces the protagonist to confront his own denial and the consequences of his choices.",,https://covers.openlibrary.org/b/id/97395-M.jpg
The Women of Brewster Place,Gloria Naylor,Contemporary Fiction,4.3,"The novel follows a group of women living in the cramped, decaying Brewster Place in Harlem, each grappling with personal struggles, trauma, and resilience. Through interwoven stories, Naylor explores themes of community, identity, and the enduring strength of women in the face of poverty and systemic oppression.",,https://covers.openlibrary.org/b/id/5081997-M.jpg
"Brown Girl, Brownstones",Ntozake Shange,African American literature,4.2,"The novel follows the life of a young African American woman in Harlem as she navigates love, ambition, and the complexities of her family's legacy, all while confronting the societal expectations of race and gender. Through lyrical prose and vivid character development, Shange explores themes of identity, resilience, and the pursuit of personal freedom within a rapidly changing urban landscape.",,https://covers.openlibrary.org/b/id/6793822-M.jpg
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction,4.5,"Set against the backdrop of the Biafran War, the novel follows the intertwined lives of a Nigerian couple, a British scholar, and a young woman as they navigate love, loyalty, and survival amid political turmoil. Themes of identity, colonial legacy, and the human cost of conflict are explored through vivid, emotionally resonant storytelling.",,https://covers.openlibrary.org/b/id/8472660-M.jpg
Purple Hibiscus,Chimamanda Ngozi Adichie,Contemporary Fiction,4.5,"Set in postcolonial Nigeria, the novel follows 15‑year‑old Kambili as she navigates her oppressive father’s strict Catholicism and the family’s hidden secrets, ultimately finding her voice through the liberating influence of her aunt’s home. Through vivid portrayals of family dynamics, religious fervor, and the struggle for personal freedom, Adichie explores themes of silence, resilience, and the transformative power of love.",,https://covers.openlibrary.org/b/id/12063933-M.jpg
No Longer at Ease,Chinua Achebe,Postcolonial fiction,4.2,"The novel follows Obi Okonkwo, a young Nigerian civil servant who struggles to reconcile his traditional upbringing with the corrupt realities of colonial administration, ultimately leading to a moral crisis. Through Obi's internal conflict and eventual downfall, Achebe critiques the erosion of cultural identity and the seductive allure of Western materialism in post‑independence Nigeria.",,https://covers.openlibrary.org/b/id/12707788-M.jpg
Arrow of God,Chinua Achebe,Historical Fiction,4.5,"Set in 1930s Nigeria, the novel follows Okeke, a traditional ruler of Umuofia, as he navigates the encroaching influence of British colonialism and the internal pressures of his own community. Through Okeke's struggles, Achebe explores themes of cultural clash, leadership, and the resilience of indigenous identity.",,https://covers.openlibrary.org/b/id/7135325-M.jpg
The Famished Road,Ben Okri,Magical realism,4.5,"In a Nigerian slum, a boy named Azaro is born as a spirit-child who must navigate the boundaries between the living and the dead, while his family struggles with poverty and political turmoil. The novel explores themes of faith, resilience, and the power of storytelling as Azaro learns to harness his supernatural gifts to survive and protect his loved ones.",,https://covers.openlibrary.org/b/id/13858305-M.jpg
The Ministry of Utmost Happiness,Arundhati Roy,Contemporary Fiction,4.2,"The novel follows the lives of several characters in contemporary India, weaving their stories through the backdrop of political unrest and personal longing. Themes of love, identity, and the clash between tradition and modernity are explored with lyrical prose and sharp social commentary.",,https://covers.openlibrary.org/b/id/8055065-M.jpg
Embassy of Cambodia,Zadie Smith,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/7613598-M.jpg
The Brief Wondrous Life of Oscar Wao,Junot Díaz,Contemporary Fiction,4.5,"Oscar de León, a Dominican-American teenager, struggles with his identity and love for a girl while his family’s cursed past looms over him. The novel weaves magical realism, historical trauma, and humor to explore diaspora, masculinity, and the weight of generational curses.",,https://covers.openlibrary.org/b/id/12451659-M.jpg
Lost Children Archive,Valeria Luiselli,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/9255895-M.jpg
The Known World,Edward P. Jones,Historical Fiction,4.5,"Set in 1850s Virginia, the novel follows a former slave who becomes a slave owner, exploring the moral complexities of power and freedom. It examines the paradoxes of human nature, the bonds of family, and the enduring impact of slavery on American society.",,https://covers.openlibrary.org/b/id/34376-M.jpg
The Sellout,Paul Beatty,Satire,4.3,"In a racially divided Los Angeles, a rebellious teenager reinstates segregation to expose systemic injustice, sparking a national debate on identity and equality. The novel blends sharp humor with poignant social critique, challenging readers to confront uncomfortable truths about race, privilege, and the American Dream.",,https://covers.openlibrary.org/b/id/7897222-M.jpg
The Sympathizer,Viet Thanh Nguyen,Historical Fiction,4.5,"A former South Vietnamese spy, now a double agent for the Viet Cong, navigates the chaotic aftermath of the Vietnam War while grappling with identity, loyalty, and the lingering trauma of war. Through his internal monologue and sharp social commentary, the novel exposes the complexities of exile, memory, and the moral ambiguities of political allegiance.",,https://covers.openlibrary.org/b/id/7913176-M.jpg
The Luminaries,Eleanor Catton,Historical Fiction,4.5,"In 1866 New Zealand, a young prospector’s disappearance triggers a web of intrigue that intertwines love, betrayal, and the pursuit of wealth. The novel explores fate, morality, and the complex interplay of human ambition against the backdrop of a gold rush society.",,https://covers.openlibrary.org/b/id/7268574-M.jpg
Lincoln in the Bardo,George Saunders,Historical Fiction,4.2,"Set in the night of President Abraham Lincoln’s death, the novel follows the spirits of his son Willie and other dead souls in a Boston cemetery’s bardo, a liminal space between life and death, as they confront grief, memory, and the weight of history. Through a chorus of voices and a blend of humor and pathos, Saunders explores the nature of mourning, the power of narrative, and the enduring impact of the Civil War on American identity.",,https://covers.openlibrary.org/b/id/7909378-M.jpg
Tenth of December,David Sedaris,Humor,4.3,"Tenth of December is a collection of witty, autobiographical short stories that explore the absurdities of everyday life, from awkward family gatherings to the quirks of American culture. Sedaris blends humor with poignant introspection, offering a candid look at identity, memory, and the human condition.",,https://covers.openlibrary.org/b/id/8346437-M.jpg
The Overstory,Richard Powers,Literary Fiction,4.5,"The novel weaves together the lives of nine disparate characters whose stories intersect through their shared connection to trees, ultimately revealing humanity’s fragile relationship with the natural world. Through lush prose and interlaced narratives, Powers explores themes of environmental stewardship, memory, and the unseen forces that shape our existence.",,https://covers.openlibrary.org/b/id/8758252-M.jpg
The Arrival,Shaun Tan,Graphic Novel,4.8,"The Arrival follows a young immigrant's journey to a strange new land, depicted through evocative illustrations that capture the disorientation and hope of starting over. Themes of resilience, cultural adaptation, and the universal search for belonging are woven into a silent narrative that speaks to readers of all ages.",,https://covers.openlibrary.org/b/id/1230299-M.jpg
Watchmen,Alan Moore,Graphic Novel,4.5,"Set in an alternate 1985 America, Watchmen follows a group of retired superheroes as they investigate a conspiracy that threatens national security. The story explores themes of morality, power, and the cost of vigilantism.",,https://covers.openlibrary.org/b/id/7774899-M.jpg
Maus,Art Spiegelman,Graphic Novel,4.5,"Maus is a powerful autobiographical graphic novel that chronicles the author's father's survival of the Holocaust, depicted through anthropomorphic animals, with the Nazis as cats and Jews as mice. The narrative intertwines past and present, exploring trauma, memory, and the complexities of father-son relationships while offering a stark critique of historical atrocities.",,https://covers.openlibrary.org/b/id/10210168-M.jpg
Persepolis,Marjane Satrapi,Graphic Novel / Memoir,4.5,"Persepolis follows the childhood and early adult years of Marjane Satrapi in Iran during and after the Islamic Revolution, blending personal anecdotes with historical events. The story explores themes of identity, resistance, and the clash between tradition and modernity through a poignant, visually striking narrative.",,https://covers.openlibrary.org/b/id/12648921-M.jpg
The Periodic Table,Unknown,General,3.5,Auto-generated placeholder record.,,https://covers.openlibrary.org/b/id/7384227-M.jpg
